 Diffraction intensities for potential:3x3MoS210001.in                         
#     -8   -10       1.3287590288E-006
#     -8    -9       2.8555545232E-004
#     -8    -8       3.4449824373E-004
#     -8    -7       2.4314650725E-004
#     -8    -6       2.7927738912E-004
#     -8    -5       4.8489270069E-004
#     -8    -4       3.3282608922E-004
#     -8    -3       1.3580782300E-004
#     -8    -2       6.6231963074E-004
#     -8    -1       1.1873479143E-003
#     -8     0       7.1341285597E-004
#     -8     1       1.8430610724E-004
#     -8     2       6.4098560507E-005
#     -8     3       5.0573481058E-005
#     -8     4       2.6231703197E-004
#     -8     5       5.4948293094E-004
#     -8     6       9.5856998238E-004
#     -8     7       6.6301707971E-004
#     -8     8       3.2885352290E-004
#     -8     9       8.5702948031E-004
#     -8    10       5.3978149463E-004
#     -8    11       3.2136339506E-004
#     -8    12       4.3121381125E-005
#     -8    13       2.1320614622E-003
#     -7   -15       5.0976885686E-004
#     -7   -14       4.6864948634E-004
#     -7   -13       2.3270386171E-004
#     -7   -12       1.1545528933E-004
#     -7   -11       2.6894794910E-005
#     -7   -10       5.4424674501E-005
#     -7    -9       1.9508684929E-004
#     -7    -8       2.6716664215E-004
#     -7    -7       5.2058371661E-004
#     -7    -6       8.3682402493E-004
#     -7    -5       4.9963213105E-004
#     -7    -4       1.6873492493E-004
#     -7    -3       7.6202168442E-004
#     -7    -2       8.1105151294E-004
#     -7    -1       1.8430982752E-004
#     -7     0       6.6640628624E-005
#     -7     1       4.4944362596E-004
#     -7     2       1.0354244269E-003
#     -7     3       1.7106124104E-003
#     -7     4       1.4948963843E-003
#     -7     5       6.4320154286E-004
#     -7     6       8.8691790496E-004
#     -7     7       5.1212083881E-004
#     -7     8       1.1362405336E-003
#     -7     9       6.5637495269E-004
#     -7    10       2.7509957398E-005
#     -7    11       6.4264880236E-004
#     -7    12       8.4840348132E-004
#     -6   -16       2.1594742775E-004
#     -6   -15       5.3314686818E-004
#     -6   -14       3.2580781859E-004
#     -6   -13       4.0223880958E-004
#     -6   -12       3.5552698121E-005
#     -6   -11       3.1588817633E-005
#     -6   -10       4.9543618959E-005
#     -6    -9       3.0982449418E-003
#     -6    -8       4.4980604829E-004
#     -6    -7       1.0218490134E-003
#     -6    -6       8.0817851287E-003
#     -6    -5       3.7464567514E-004
#     -6    -4       7.0401365494E-004
#     -6    -3       2.4242438395E-002
#     -6    -2       6.4098061856E-005
#     -6    -1       4.4939744337E-004
#     -6     0       3.8828895780E-002
#     -6     1       2.2320735526E-003
#     -6     2       2.3435204769E-003
#     -6     3       1.5735954385E-002
#     -6     4       1.0667742033E-003
#     -6     5       8.1629799782E-004
#     -6     6       1.4894853783E-002
#     -6     7       3.7738422749E-004
#     -6     8       3.9845302647E-004
#     -6     9       2.2946918654E-002
#     -6    10       6.6210799297E-004
#     -6    11       5.2819505568E-004
#     -5   -16       2.5854956853E-004
#     -5   -15       6.4565905303E-004
#     -5   -14       4.9582048846E-004
#     -5   -13       3.4499356859E-004
#     -5   -12       3.0029944385E-005
#     -5   -11       2.8062060594E-005
#     -5   -10       5.9589165124E-005
#     -5    -9       1.5991770272E-004
#     -5    -8       6.0158821078E-004
#     -5    -7       7.2380669226E-004
#     -5    -6       2.2912998045E-004
#     -5    -5       2.5835842203E-004
#     -5    -4       3.6466527235E-004
#     -5    -3       5.0605135920E-005
#     -5    -2       1.0353630621E-003
#     -5    -1       2.2319907136E-003
#     -5     0       2.1884759860E-003
#     -5     1       1.2645413075E-003
#     -5     2       7.3754060543E-004
#     -5     3       3.1243337925E-004
#     -5     4       2.0748840997E-004
#     -5     5       1.4702388159E-004
#     -5     6       5.2344639313E-004
#     -5     7       8.0235931546E-004
#     -5     8       1.0081200922E-004
#     -5     9       4.0893780958E-004
#     -5    10       1.9262081846E-003
#     -5    11       1.2579628161E-003
#     -4   -16       1.7843850378E-004
#     -4   -15       3.0996770783E-004
#     -4   -14       6.5034635463E-004
#     -4   -13       2.7954949745E-004
#     -4   -12       4.9286240900E-005
#     -4   -11       1.5056073127E-005
#     -4   -10       1.5817681373E-004
#     -4    -9       4.7687934876E-004
#     -4    -8       5.2850448975E-004
#     -4    -7       2.4454102487E-004
#     -4    -6       2.5492261218E-005
#     -4    -5       9.0298063733E-005
#     -4    -4       2.6227494454E-004
#     -4    -3       1.7105440438E-003
#     -4    -2       2.3434998534E-003
#     -4    -1       1.2645444222E-003
#     -4     0       6.4054289766E-004
#     -4     1       4.4111501044E-005
#     -4     2       5.0483570997E-004
#     -4     3       8.6055989977E-004
#     -4     4       7.4236748687E-004
#     -4     5       1.7842185979E-004
#     -4     6       1.6943072238E-003
#     -4     7       1.5530299073E-003
#     -4     8       1.4657026992E-004
#     -4     9       2.5355767812E-003
#     -4    10       1.5670804494E-003
#     -3   -16       6.1844386875E-005
#     -3   -15       4.2876191527E-004
#     -3   -14       3.4747167957E-004
#     -3   -13       6.3710575502E-005
#     -3   -12       9.0741707823E-004
#     -3   -11       9.6564988174E-005
#     -3   -10       1.8636200775E-004
